Yorum No,Havayolu,Kullanıcı Adı,Katkı Sayısı,Puan,Başlık / Ana Tema,Rota,Kategori,Seyahat Tarihi,Yorum Tarihi,"Yorum İçeriği (Tam Metin - Türkçe)",Olumlu/Olumsuz/Nötr
126,Pegasus,Beran G,1,2,Irkçı Kaba Davranışlar,Amsterdam - Istanbul,Europe,Temmuz 2023,4 Temmuz 2023,"01.07.2023 tarihinde Amsterdam-Sabiha Gökçen uçuşunda check-in bagaj verme sırasında, 10 numaralı bankoda çalışan Pegasus çalışanı kadın görevli Türkçe konuştuğum için 'Burası Hollanda Türkçe konuşamazsın, benimle İngilizce konuşacaksın' şeklinde bir davranış sergiledi. Bagajımız 3 kg fazla geldiği ve kitap koruma çantamı ilave bagaj olarak gördüğü için ekstra ücret ödenmesini talep etti. Konuyu sorduğumda tehditkar ve kaba bir tutum sergileyerek 'Burası Hollanda git Türkiye’de söyle bunları' dedi. Eşim ile konuştuğumuzda sürekli 'Türkçe konuşma' uyarısı aldık. İngilizce bilmediğimi söylediğimde 'Neden buraya geldin, Türkçe konuşamazsın' dedi. Yanında bulunan başka bir çalışan Gülten isimli kişi de tehditkar bir şekilde, 'Sizi pilota söyler, kendisinden özür dilemezsem uçağa alınmazsınız' dedi. Tehdit, zorbalık, ırkçılık ve hakaret içerikli bu deneyim Türk vatandaşı olarak yaşadığım ciddi bir mağduriyet oldu. Kamera kayıtları ve tanıklar durumu doğrulayacaktır.",Olumsuz
127,Pegasus,Barış T,1,2,Berbat bir havayolu,London - Izmir,Europe,Nisan 2023,3 Temmuz 2023,"Uçuş deneyimi tam anlamıyla rezaletti. Fazla bagaj ücreti iki kez talep edildi, çalışanlar son derece saygısız ve kaba davrandı. Uçaklar temiz değildi ve koltuklar rahatsızdı. Hizmet kalitesi çok düşük, süreçler düzensiz ve yolcu memnuniyeti yok denecek kadar az.",Olumsuz
128,Pegasus,Özgür Pazar,1,1,Pegasus Antalya çalışan personelin hakareti,Antalya - Istanbul,DomesticEconomy,Haziran 2023,21 Haziran 2023,"Antalya Pegasus bagaj teslim check-in bölümünde genç ve tecrübesiz bir bayan çalışan mağduriyet yaşattı. İlgili personel, verilen yetkiyi kendi egosu doğrultusunda agresif bir şekilde kullandı. Hakaret ederek 'boş konuşuyorsunuz' gibi ifadeler kullandı. Mağduriyetimiz sadece hakaretlerle kalmadı, davranışlar ciddi şekilde rahatsız ediciydi. Kamera kayıtları incelenebilir ve durum doğrulanabilir.",Olumsuz
129,Pegasus,Derya D,1,1,Uçak saatlerinin gecikmesi,Istanbul - Antalya,DomesticEconomy,Mayıs 2023,27 Mayıs 2023,"Mayıs 2023'te Antalya-İstanbul arasında dört farklı uçuşumda, özellikle İstanbul uçuşlarında dört saat havalimanında bekletildik. Hiçbir açıklama yapılmadı. Hava koşullarının etkisi olmadığını düşünüyorum; tamamen sorumsuzluk ve kötü yönetim kaynaklı bir durum söz konusu. Pegasus’u kimseye önermiyorum.",Olumsuz
130,Pegasus,Deniz K,1,5,TEŞEKKÜR,Istanbul - Prague,EuropeEconomy,Mayıs 2023,15 Mayıs 2023,"PC301 sefer sayılı 13:50 Pegasus İstanbul-Prag uçağındaki kabin ekibine tüm incelikleri, samimiyetleri ve işlerinde gösterdikleri özen için sonsuz teşekkür ederim. Berfin Hanım, Doğukan Bey ve Yakup Bey, profesyonel ve samimi yaklaşımları sayesinde uçuş korkum olmasına rağmen keyifli ve konforlu bir yolculuk geçirdik. Pegasus Ailesi’ne tekrar teşekkür ederim.",Olumlu
131,Pegasus,Dilan B,1,5,Antalya istanbul sabiha gökçen 22:05 uçağı hk.,Antalya - Istanbul,DomesticEconomy,Mayıs 2023,13 Mayıs 2023,"Antalya-Sabiha Gökçen 22:05 seferli uçuşumda kabin memuru Ozan Bey’in ilgisi ve yardımları sayesinde uçuş sırasında yaşadığım korkuyu yenmem konusunda büyük destek aldım. Kendisi uçuş öncesi ve uçuş sırasında sürekli olarak benimle ilgilenerek, gerekli açıklamaları yaptı ve güven vermeyi başardı. Bu profesyonel ve samimi yaklaşımı sayesinde yolculuğum çok daha rahat geçti. Kendisine ve kabin ekibine teşekkür ederim. Bu deneyim, Pegasus’u gelecekte de tercih etme sebeplerimden biri oldu.",Olumlu
132,Pegasus,Ayse S,2,1,Pegasus bıktırdı,Istanbul - Rome,EuropeEconomy,Eylül 2022,27 Nisan 2023,"Pegasus ile yaşadığım uçuş deneyiminde iptal edilen uçuş ücretimin yarısını kesip kalanını geri iade etmediler. Defalarca telefonla aradım, e-posta gönderdim ve haftalar boyunca sonuç alamadım. Bu durum ciddi bir sorumsuzluk ve müşteri memnuniyetsizliği yaratmaktadır. İlgili geri ödeme süreci tamamen aksadı ve iletişim eksikliği, firmanın müşteri hizmetleri konusunda ciddi problemleri olduğunu gösteriyor. Bu deneyim Pegasus’a olan güvenimi olumsuz etkiledi.",Olumsuz
133,Pegasus,Hayta,16,2,İlgisizlik kendini beğenmişlik laubali havalı Personel (işçi),Copenhagen - Adana,EuropeEconomy,Nisan 2023,7 Nisan 2023,"Kopenhag-İstanbul aktarmalı Adana uçuşumda uzun süre beklememize rağmen Pegasus personeli oldukça ilgisiz ve kabaydı. Online check-in yapan yolculara ayrıcalık tanınırken, diğer yolculara sert ve bağırarak anons yapılması adaletsizdi. Görevliye durumu ilettiğimde sorun çözülmedi ve personel arkamızı dönüp gitmekle yetindi. Ailemle birlikte seyahat ediyordum, iki küçük çocuğum vardı ve bu davranışlar son derece rahatsız ediciydi. Pegasus’un Avrupa’daki personel eğitimlerinin yetersiz olduğunu gözlemledim; müşteriyle doğru iletişim ve empati eksikti. Bu tür durumların önlenmesi için şirketin personeline kapsamlı müşteri hizmetleri eğitimi vermesi gerektiğini düşünüyorum. Yaşadığımız aksaklık ve haksız davranışlar nedeniyle masraflarımızın ve uğradığımız mağduriyetin tazmin edilmesini talep ediyorum.",Olumsuz
134,Pegasus,V B,1,1,"Kaçırılan uçağımızın bagaj ve vergi parasını söz verildiği gibi (70-80$) geri istiyoruz!!! SAW-VIE 08/01/2021 PC903",Istanbul - Vienna,EuropeEconomy,Mart 2023,13 Mart 2023,"08/01/2023 tarihinde PC903 sefer sayılı İstanbul-Viyana uçuşumuzu kaçırdık. Bu durum sonrasında Pegasus ile onlarca e-posta ve telefon görüşmesi yaptım. Uçuş sırasında ödenmiş bagaj ve vergi bedeli olan 70-80$ halen tarafıma geri ödenmedi. Maillerime cevap alamadım ve sürecin takip edilmediğini gördüm. Bu tür durumlar, müşteri hizmetleri ve geri ödeme süreçlerinin ne kadar yetersiz olduğunu ortaya koymaktadır. Pegasus’a olan güvenimi ciddi şekilde sarstı ve bu nedenle gelecekte tercih etmeyi düşünmüyorum.",Olumsuz
135,Pegasus,Selçuk T,1, 1,kabin amiri,Antalya - Istanbul,DomesticEconomy,Şubat 2023,17 Şubat 2023,"Antalya-İstanbul PC2005 sefer sayılı uçuş sırasında kabin amiri görevini gerektiği gibi yerine getirmedi. Uçak iniş anında, kemer ikaz ışıkları hâlâ yanarken yolcular ayağa kalkıp bagajlarını almak istedi. Kabin amirine şikayette bulunduğumda yalnızca anons yapabildiklerini ve başka prosedürlerinin olmadığını belirtti. Pilot da durumu teyit etti. Daha sonra PC2010 seferinde tekrar uçağa binerken aynı kabin amirine durumu ilettim, ancak tutanak tutulabileceğini belirttiler ve polis çağrıldı. Uçaktan polis eşliğinde indirildim ve bir saatten fazla tutulduk. Tüm yaşananlar video kayıtları ile belgelenmiş durumda. Bu deneyim, Pegasus’un kabin yönetimi ve yolcu güvenliği prosedürlerinde ciddi eksiklikler olduğunu gösteriyor ve ilgili yetkililerin açıklama yapması gerekmektedir.",Olumsuz
136,Pegasus,Gökhan Bey,2,1,Müşterilerini mağdur etmekten hiç çekinmeyen bir firma,Istanbul - Athens,EuropeEconomy,Aralık 2022,23 Ocak 2023,"Evraklarım tam olmasına rağmen güvenlik riski gerekçesiyle uçağa alınmadım. Bu durum bana yaklaşık 5000 TL maddi zarar verdi. Almadığım ve aldırmadığım her bilet için şirkete ciddi zarar vereceğimi söylemek istemem ancak yaşadığım mağduriyetin telafi edilmesini beklerdim.",Olumsuz
137,Pegasus,Onur S,1,1,Ölüm uçuşu,Istanbul - Antalya,DomesticEconomy,Aralık 2022,14 Aralık 2022,"21:50 uçuşumuz gecikmeli kalktı ve pilotun çok hızlı ve sarsıntılı uçuşu yolculuk boyunca korku yaşattı. Antalya’ya iniş sırasında piste çok hızlı yaklaşıldı, ardından ani manevra ile tekrar yükselindi. Antalya üzerinde bir süre dolaştıktan sonra Sabiha Gökçen’e geri dönüldü. İniş sırasında da motorların zorlandığı hissedildi. Uçuş sonrası konaklama için otele yönlendirildik ve oda almak için uzun süre sıra bekledik. Açıklama ve bilgilendirme yetersizdi. Hayat güvenliğini riske atan bu deneyim nedeniyle Pegasus’u önermiyorum.",Olumsuz
138,Pegasus,s a,1,1,Para kes bilet yok!!!!!!!,Amsterdam - Istanbul,EuropeEconomy,Kasım 2022,9 Kasım 2022,"Bilet tarihimi değiştirmek için işlem yaptım. Onayı verdikten sonra banka hesabımdan ödeme çekildi ancak bilet tarafıma gönderilmedi. Müşteri hizmetlerini aradığımda hatanın bankadan kaynaklandığı söylendi. Ancak aynı hatanın sürekli tekrar etmesi ve sorumluluğun müşteriye yüklenmesi güven sarsıcıdır. Dekontlarımı saklıyorum ve gerekli şikayetleri yapacağım.",Olumsuz
139,Pegasus,Burcu Ç,3,1,Rezalet.,Hatay Province - Nicosia,EuropeEconomy,Kasım 2022,6 Kasım 2022,"Yaklaşık 50 dakika boyunca hiçbir açıklama yapılmadan bekletildik. Reklamlarda belirtilen ‘%100 zamanında kalkış’ iddiası gerçekçi görünmüyor. Bilgilendirme eksikliği ve gecikme süreci yolcuları zor durumda bıraktı. Hizmet kalitesinin geliştirilmesi gerektiğini düşünüyorum.",Olumsuz
140,Pegasus,Zynpzynp,2,1,Berbatsınız!,Amsterdam - Istanbul,EuropeEconomy,Ekim 2022,31 Ekim 2022,"Amsterdam-İstanbul uçuşumda kabin boy bagajım ve içinde bilgisayarım olan sırt çantam vardı. Tek parça bagaj kuralı nedeniyle uçuş öncesinde 70 Euro ekstra ödeme yapmak zorunda kaldım. Arkadaşımın da yalnızca sırt çantası vardı ancak gecikmeden dolayı düzenlemeye yetişemedik. Bu uygulamanın yolcuları zor durumda bıraktığını düşünüyorum ve bu durumdan şikayetçiyim.",Olumsuz
141,Pegasus,Ali Yıldırım,2,2,PEGASUS BÜYÜK HAYAL KIRIKLIĞI,Nicosia - Antalya,EuropeEconomy,Ekim 2022,30 Ekim 2022,"Kıbrıs-Antalya uçuşumuz kalkış öncesinde teknik bir arıza nedeniyle iptal edilme noktasına geldi. Uçağın içinde yoğun ve rahatsız edici bir benzin kokusu hissedildi ve bu durum yolcular arasında ciddi bir güvenlik endişesi yarattı. Arıza sebebiyle uçuştan tahliye edildik ve alternatif bir uçağa yönlendirildik. Bu süreç yaklaşık 3 saatlik ekstra zaman kaybına neden oldu. Personelin yaklaşımı ise profesyonel ve bilgilendirici olmaktan uzaktı; yolculara yeterli açıklama yapılmadı ve davranışlar şehir içi minibüs muavini tavrına benzetildi. Bu deneyim oldukça olumsuz ve güvenlik açısından da kaygı vericiydi.",Olumsuz
142,Pegasus,Coshkun,1,1,"30 dakika dendi, 2saat rötar oldu",Istanbul - Baku,InternationalEconomy,Ekim 2022,17 Ekim 2022,"16 Ekim 2022 tarihinde İstanbul-SAW Bakü GYD uçuşum planlanan saat olan 23:25 yerine ciddi gecikmelerle gerçekleşti. İlk olarak 20:39’da sadece 30 dakika gecikme bildirimi gönderildi. Uluslararası uçuşlar için havalimanında erken bulunmam gerektiği için zaten havaalanındaydım. Uçak nihayet 01:14’te kalktı ve gecikme hakkında herhangi bir açıklama yapılmadı. Kabin görevlilerine gecikmenin nedeni sorulduğunda sayım yapıldığı söylendi. Ayrıca kabin bagajımı başüstü bölmeye yerleştirmek istediğimde boş yer bulamadım ve kabin görevlilerinden yardım talep ettim; ancak görevli sadece koltuğumun altına yerleştirebileceğimi söyleyerek ilgilenmedi ve muhabbetine devam etti. Yolculuk süresince hizmet kalitesi oldukça düşüktü.",Olumsuz
143,Pegasus,YeicGeztoz✔,34553,3,Pegasus,Malatya - Istanbul,DomesticEconomy,Haziran 2022,27 Eylül 2022,"Pegasus ile gerçekleştirdiğim uçuşlarda genel olarak rötar yaşamadım ve uçuşlar zamanında gerçekleşti. Uçakta ikram hizmeti bulunmuyor; yiyecek ve içecekler ücretli olarak sunuluyor. Bilet alırken menüdeki ürünleri önceden ödeme yaparak sipariş edebiliyorsunuz ve kabin ekibi servis konusunda düzenli ve hızlı davrandı. Rahat bir seyahat deneyimi yaşadım ancak ikramların tamamen ücretli olması bazı yolcular için dezavantaj oluşturabilir.",Olumlu
144,Pegasus,Abdullah D,187, 1,Köylü Kurnazı,Antalya - Zurich,EuropeEconomy,Eylül 2022,25 Eylül 2022,"Bilet satın alma sürecinde bagaj haklarının sistemsel olarak değiştirildiğini ve bu nedenle ekstra ücret ödendiğini deneyimledim. Millerle alınan bilette bagaj hakkımın iptal edilmesi ve sonraki biletleme işleminde tekrar satılması yaklaşık 750-800 TL ek maliyete yol açtı. Şirketin biletleme ve bagaj politikalarının müşteri açısından kafa karıştırıcı ve ek ücret odaklı olduğu izlenimini edindim. Bilet alırken bagaj hakkı ve ek ücret detaylarının dikkatle kontrol edilmesi gerekiyor.",Olumsuz
145,Pegasus,Neda Ö,1,4,Ucus,Kayseri - Stuttgart,EuropeEconomy,Eylül 2022,16 Eylül 2022,"Kayseri-Stuttgart uçuşumda kabin ekibi oldukça ilgili ve güler yüzlüydü. Özellikle Bahadır Bey’in profesyonel ve yardımsever yaklaşımı uçuş deneyimimi olumlu yönde etkiledi. Hosteslerin samimi ve destekleyici davranışları sayesinde korku yaşayan yolcuların daha rahat ettiği bir ortam sağlandı. Genel olarak bu uçuşta hizmet kalitesi ve personel iletişimi başarılıydı.",Olumlu
146,Pegasus,Serkan G,2,1,Rezalet !!!,Bodrum District - Berlin,EuropeEconomy,Eylül 2022,8 Eylül 2022,"Pegasus ile gerçekleştirdiğim uçuş deneyimi tam anlamıyla hayal kırıklığıydı. Müşteri temsilcilerinden hiçbir konuda destek veya yardım alamadım. Check-in sırasında gişe görevlinizin Almanya gümrük polislerinden bile sert ve tuhaf bir tavır sergilemesi beni 20 yıllık yolculuk tecrübeme rağmen şoke etti. Tüm bu olumsuz deneyimlerin yanı sıra, sadece Almanya’ya tek yön uçuş için ödediğim 13.000 TL gibi astronomik ücret, Pegasus ile bir daha asla çalışmamak için yeterli oldu. Bu mentaliteyle Pegasus’un çok sayıda müşteri kaybedeceğini düşünüyorum.",Olumsuz
147,Pegasus,esma k,6,1,Hizmeti hic iyi değil,Istanbul - Munich,EuropeEconomy,Eylül 2022,7 Eylül 2022,"Pegasus ile gerçekleştirdiğim uçuş deneyimi beklentilerimin çok altında kaldı. Bavullarım hasar gördü ve irtibat numaralarına ulaşmak neredeyse imkânsızdı. E-postalara cevap almak oldukça zor ve karmaşık bir süreçti. Servis hizmetleri genel olarak yetersizdi ve herhangi bir çözüm sunulmadı. Yolculuk boyunca karşılaştığım aksaklıklar ve ilgisizlik, Pegasus’un müşteri memnuniyetine yeterince önem vermediğini gösteriyor.",Olumsuz
148,Pegasus,doguhan G,2,1,Rezalaet daniskası berbat,Istanbul - Ankara,DomesticEconomy,Eylül 2022,5 Eylül 2022,"5 Eylül tarihinde İstanbul-Ankara uçuşumda tam anlamıyla bir rezalet yaşadım. Uçağın kalkış saati 10:30 olarak planlanmışken, 11:30’da ancak kalkabildi. Uçakta tam 1 saat 20 dakika koltukta beklemek zorunda kaldım ve bu süreçte hiçbir bilgilendirme yapılmadı. Hem zaman kaybı hem de yaşanan belirsizlik, uçuş deneyimimi olumsuz etkiledi. Pegasus’un planlama ve yolcu bilgilendirme süreçlerinde ciddi eksiklikler mevcut.",Olumsuz
149,Pegasus,Mert M,1,5,Rezalet,Ankara - Antalya,DomesticEconomy,Ağustos 2022,8 Ağustos 2022,"Uçak biletine ödediğim 1.500 TL ücrete rağmen uçuş sırasında herhangi bir ikram yapılmaması son derece hayal kırıklığı yarattı. Ucuz otobüs firmalarının dahi ikram sunduğu bir ortamda Pegasus’un bu hizmet eksikliği ciddi bir memnuniyetsizlik yarattı. Bir bardak su bile ikram edilemiyorsa, bu durum yolcu hakları açısından kabul edilemez. Bu deneyim, paranın karşılığını alamama hissiyle yolculuğu olumsuz bir hale getirdi.",Olumsuz
150,Pegasus,Özlem S,1,1,Bebek,Kayseri - Izmir,DomesticEconomy,Temmuz 2022,17 Temmuz 2022,"Bebek arabasıyla seyahat eden yolculara Pegasus’u kesinlikle tavsiye etmiyorum. Kayseri-İzmir uçuşum sırasında bebek arabamın kulpu kırıldı, yüzeyi çizildi ve kullanılamaz hale geldi. Karşılığında Pegasus müşteri hizmetleri küçük bir hasar olarak değerlendirip herhangi bir çözüm sunamayacaklarını belirtti. Yaşadığım bu olumsuz deneyim, hem maddi kayba hem de ciddi memnuniyetsizliğe yol açtı. Müşteri hizmetlerinin ilgisiz ve çözüm odaklı olmaması, bu seyahati son derece olumsuz bir deneyim haline getirdi.",Olumsuz
151,Pegasus,Ayse K,1,1,Berbat,Adana - Antalya,DomesticEconomy,Temmuz 2022,14 Temmuz 2022,"15 dakika gecikmeli kalkışını bir nebze tolere edebilirdim ancak uçuş sonrası yaşanan bagaj teslim süreci tam anlamıyla kabul edilemezdi. Uçaktan indikten sonra tam bir saat boyunca bagajımızı bekledik, bu süre hem fiziksel olarak yorgunluk hem de zihinsel olarak ciddi bir rahatsızlık yarattı. Böyle bir süreç, özellikle acil işleri olan veya başka ulaşım planları yapan yolcular için büyük bir problem teşkil eder. Pegasus’un bagaj dağıtım organizasyonu ve personel koordinasyonu ciddi şekilde gözden geçirilmesi gereken alanlar arasında. Maalesef, bu deneyim nedeniyle Pegasus’u hiçbir şekilde tavsiye edemiyorum ve gelecekte olası yolcuların benzer sorunlar yaşamaması için şirketin bu konuda ciddi önlemler alması gerektiğini düşünüyorum.",Olumsuz
152,Pegasus,Nilüfer S,2,5,"Guleryüzlu, yardımsever personel",Istanbul - London,EuropeEconomy,Temmuz 2022,5 Temmuz 2022,"Sabiha Gökçen Havalimanı’ndan Londra Stansted’e gerçekleştirdiğim seyahati unutulmaz kılan Pegasus personelinin yaklaşımı oldu. Özellikle Levent Akkusa, ilk uçuş deneyimimde bana gösterdiği ilgi, alaka ve güler yüzle misafirperverliğin ne demek olduğunu somut olarak gösterdi. Uzun yıllardır turizm sektöründe çalışan biri olarak, Pegasus’un personelinde mesleki etik ve müşteri odaklı davranışları görmek gerçekten takdire şayandı. Bu deneyim, uçuş boyunca kendimi özel hissetmemi sağladı ve Pegasus’un müşteri memnuniyetine ne kadar önem verdiğini gösterdi. Böyle profesyonel ve sıcak kanlı çalışanların bulunması, firmanın uzun vadede güçlü bir itibar kazanmasına katkı sağlar.",Olumlu
153,Pegasus,Mahmud A,1,1,Mükemmel bir Hizmet,Istanbul - Samsun,DomesticEconomy,Haziran 2022,28 Haziran 2022,"Sabiha Gökçen Havaalanı'ndan Samsun’a gerçekleştirdiğimiz uçuşta, evcil hayvanım olduğu için online check-in yapamayarak kontuardan işlem yapmak zorunda kaldık. D3 kontuarına yönlendirildik ancak yoğunluk nedeniyle uzun süre beklemek zorunda kaldık. Uçuşa 55 dakika kala durumu belirttim ve görevlinin hızlı müdahalesi sayesinde sisteme girişimiz sağlandı, ayrıca evcil hayvan bilgilerim de doğru şekilde sisteme işlendi. Bu süreç, personelin müşteri odaklı ve çözüm üretme becerisi ile olumlu bir deneyim haline dönüştü. Pegasus’un bu tür özel durumlarda gösterdiği anlayış ve hızlı çözüm yeteneği, yolculuğu çok daha rahat ve sorunsuz hale getirdi. Bu deneyim için görevliye ve Pegasus’a teşekkür ederim.",Olumlu
